Node 42516296 has an unrecognised tag 'barrier' = 'fence' (in tagging rules); ignoring it.
Way 5677243 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5677257 has an unrecognised tag 'oneway' = 'undefined' (after tagging rules); using 'no'.
Way 5677489 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5677492 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5677499 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5677584 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5677605 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5677899 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5677924 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5677925 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5677945 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678062 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678232 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678318 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678364 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678372 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678499 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678554 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678786 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678795 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678904 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678919 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5678929 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679047 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679067 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679147 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679242 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679441 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679445 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679460 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679607 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679609 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679713 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679743 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5679752 has an unrecognised tag 'oneway' = 'undefined' (after tagging rules); using 'no'.
Way 5679934 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680174 has an unrecognised tag 'oneway' = 'undefined' (after tagging rules); using 'no'.
Way 5680220 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680315 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680324 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680329 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680339 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680391 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680596 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680605 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680710 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680743 has an unrecognised tag 'oneway' = 'undefined' (after tagging rules); using 'no'.
Way 5680770 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680795 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680855 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680870 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680880 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680903 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680918 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5680938 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681019 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681036 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681197 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681226 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681266 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681315 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681318 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681411 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681573 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681574 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681623 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681664 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681670 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5681675 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5682091 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5682164 has an unrecognised tag 'oneway' = 'undefined' (after tagging rules); using 'no'.
Way 5695557 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5695808 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696025 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696030 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696108 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696114 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696170 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696325 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696330 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696340 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696496 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696584 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696616 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696666 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696671 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696918 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696932 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5696972 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697057 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697124 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697128 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697130 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697147 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697190 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697214 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697216 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697218 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697265 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697287 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697326 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697381 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697435 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697461 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697479 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697535 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697578 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697715 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697760 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697761 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697762 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697766 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697768 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697817 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697883 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697903 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5697924 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698110 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698120 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698139 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698141 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698148 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698149 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698162 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698166 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698168 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698175 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698217 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698430 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698573 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698579 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698582 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698612 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698636 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698666 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698699 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698701 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698705 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698706 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698715 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698718 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698722 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698740 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698750 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698848 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698906 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698915 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698920 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5698931 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699018 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699022 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699107 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699130 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699157 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699160 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699161 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699198 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699214 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699237 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699290 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699292 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699467 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699537 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699540 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699549 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
Way 5699595 has an unrecognised tag 'hgv' = 'local' (after tagging rules); using 'no'.
